Detectado,Acuracia
person, 0.8926
tvmonitor, 0.7541
keyboard, 0.7457
person, 0.9750
tvmonitor, 0.9599
tvmonitor, 0.9384
mouse, 0.7414
tvmonitor, 0.9688
person, 0.9646
tvmonitor, 0.9501
mouse, 0.8380
person, 0.9623
tvmonitor, 0.9328
tvmonitor, 0.8979
mouse, 0.8616
cell phone, 0.5904
tvmonitor, 0.9643
person, 0.9481
tvmonitor, 0.9015
mouse, 0.5960
remote, 0.5482
tvmonitor, 0.9369
person, 0.9185
tvmonitor, 0.8561
tvmonitor, 0.9476
person, 0.9418
tvmonitor, 0.9337
person, 0.9703
tvmonitor, 0.9702
tvmonitor, 0.9598
mouse, 0.8496
person, 0.9691
mouse, 0.9587
tvmonitor, 0.9389
tvmonitor, 0.8170
mouse, 0.9855
tvmonitor, 0.9580
person, 0.7586
person, 0.9124
person, 0.5625
tvmonitor, 0.7988
tvmonitor, 0.9208
cup, 0.6404
tvmonitor, 0.8527
cup, 0.7584
person, 0.5633
person, 0.8044
bottle, 0.7185
bottle, 0.7811
bottle, 0.5719
bottle, 0.5226
bottle, 0.5874
bottle, 0.5233
bottle, 0.6460
bottle, 0.8438
bottle, 0.6380
bottle, 0.9672
person, 0.9991
knife, 0.6514
person, 0.9975
person, 0.9993
person, 0.9971
knife, 0.7192
person, 0.9819
bed, 0.6625
person, 0.8476
bed, 0.5404
bed, 0.5726
bed, 0.5954
bed, 0.5528
bed, 0.6369
person, 0.7529
bed, 0.6818
person, 0.9799
bed, 0.9530
person, 0.9909
bed, 0.9438
person, 0.9955
bed, 0.9318
person, 0.9969
bed, 0.9559
person, 0.9982
bed, 0.9343
person, 0.9981
bed, 0.8994
person, 0.9988
bed, 0.9070
person, 0.9977
bed, 0.7953
person, 0.9980
bed, 0.9204
person, 0.9986
bed, 0.9175
person, 0.9957
bed, 0.8630
person, 0.9965
bed, 0.8396
person, 0.9906
bed, 0.8739
person, 0.9919
bed, 0.8585
person, 0.9925
bed, 0.8927
person, 0.9970
bed, 0.8440
person, 0.9769
bed, 0.8644
person, 0.9785
bed, 0.8059
person, 0.8180
bed, 0.5739
person, 0.8371
bed, 0.7469
person, 0.9372
bed, 0.5637
person, 0.9945
person, 0.9963
person, 0.8445
person, 0.9243
person, 0.8658
person, 0.9059
person, 0.9339
bed, 0.5097
person, 0.8845
person, 0.9010
person, 0.9561
person, 0.9664
person, 0.8617
person, 0.9302
person, 0.6306
bed, 0.9778
tvmonitor, 0.9182
person, 0.8700
bottle, 0.8664
bottle, 0.9703
bed, 0.9462
person, 0.9449
tvmonitor, 0.8840
bottle, 0.9837
person, 0.9807
tvmonitor, 0.9807
bed, 0.5160
bottle, 0.9911
tvmonitor, 0.9736
person, 0.7865
bottle, 0.9892
tvmonitor, 0.8609
tvmonitor, 0.8400
tvmonitor, 0.9253
bottle, 0.7650
tvmonitor, 0.9346
tvmonitor, 0.6273
tvmonitor, 0.9565
bottle, 0.5064
tvmonitor, 0.8354
tvmonitor, 0.5900
bottle, 0.5883
tvmonitor, 0.7639
tvmonitor, 0.6412
bottle, 0.5145
tvmonitor, 0.8108
tvmonitor, 0.6146
tvmonitor, 0.8259
tvmonitor, 0.7579
bottle, 0.6103
bottle, 0.7381
tvmonitor, 0.7250
tvmonitor, 0.5584
tvmonitor, 0.7636
bottle, 0.6044
refrigerator, 0.6216
cup, 0.8821
tvmonitor, 0.6452
tvmonitor, 0.9239
tvmonitor, 0.9768
tvmonitor, 0.9218
cup, 0.5304
tvmonitor, 0.9399
cup, 0.6988
tvmonitor, 0.9778
tvmonitor, 0.9663
tvmonitor, 0.9467
cup, 0.7734
tvmonitor, 0.8927
cup, 0.8071
tvmonitor, 0.9262
cup, 0.6329
tvmonitor, 0.8798
tvmonitor, 0.5680
cup, 0.5340
tvmonitor, 0.5125
cup, 0.7909
tvmonitor, 0.7684
person, 0.5129
tvmonitor, 0.6482
tvmonitor, 0.8912
cup, 0.5673
cup, 0.8748
tvmonitor, 0.8440
mouse, 0.6023
mouse, 0.8410
cup, 0.7952
tvmonitor, 0.6025
mouse, 0.6750
mouse, 0.9369
person, 0.7811
mouse, 0.6789
mouse, 0.8042
person, 0.6408
mouse, 0.9411
mouse, 0.7747
mouse, 0.6887
mouse, 0.7738
mouse, 0.6240
mouse, 0.7061
person, 0.8500
cup, 0.6462
person, 0.7773
person, 0.6667
horse, 0.7228
person, 0.7768
person, 0.6579
person, 0.8489
person, 0.8005
person, 0.7129
keyboard, 0.5192
person, 0.8092
person, 0.8063
keyboard, 0.5306
mouse, 0.9456
mouse, 0.8938
remote, 0.5287
mouse, 0.8324
mouse, 0.5879
mouse, 0.5106
mouse, 0.7299
mouse, 0.8275
